OrderID,CustomerID,OrderDate,Amount
101,1,2025-01-05,250.5
102,2,2025-02-10,100.0
103,3,2025-03-15,75.25
104,4,2025-04-20,300.0
105,5,2025-05-05,450.0
106,6,2025-01-12,200.0
107,7,2025-02-20,350.0
108,8,2025-03-25,500.0
109,9,2025-04-10,150.0
110,10,2025-05-15,600.0
111,11,2025-01-07,120.0
112,12,2025-02-12,80.0
113,13,2025-03-18,220.0
114,14,2025-04-22,330.0
115,15,2025-05-08,410.0
116,16,2025-01-15,90.0
117,17,2025-02-25,360.0
118,18,2025-03-28,470.0
119,19,2025-04-12,140.0
120,20,2025-05-18,550.0
121,21,2025-01-09,130.0
122,22,2025-02-14,210.0
123,23,2025-03-20,300.0
124,24,2025-04-25,400.0
125,25,2025-05-10,450.0
126,26,2025-01-17,220.0
127,27,2025-02-28,330.0
128,28,2025-03-30,500.0
129,29,2025-04-15,150.0
130,30,2025-05-20,600.0
131,31,2025-01-11,100.0
132,32,2025-02-16,190.0
133,33,2025-03-22,250.0
134,34,2025-04-27,350.0
135,35,2025-05-12,420.0
136,36,2025-01-19,95.0
137,37,2025-03-01,360.0
138,38,2025-03-31,480.0
139,39,2025-04-18,160.0
140,40,2025-05-22,570.0
141,41,2025-01-13,110.0
142,42,2025-02-18,200.0
143,43,2025-03-24,310.0
144,44,2025-04-29,430.0
145,45,2025-05-14,460.0
146,46,2025-01-21,230.0
147,47,2025-03-03,340.0
148,48,2025-04-02,510.0
149,49,2025-04-20,170.0
150,50,2025-05-25,620.0
