ProductID,ProductName,Category,Price
1,Laptop,Electronics,1200
2,Mouse,Electronics,25
3,Keyboard,Electronics,45
4,Monitor,Electronics,250
5,Chair,Furniture,100
6,Desk,Furniture,300
7,Shelf,Furniture,150
8,Book,Books,20
9,Notebook,Books,5
10,Pen,Stationery,2
11,Headphones,Electronics,80
12,Smartphone,Electronics,900
13,Tablet,Electronics,600
14,Couch,Furniture,800
15,Lamp,Furniture,50
16,Backpack,Accessories,70
17,Watch,Accessories,200
18,Camera,Electronics,500
19,Printer,Electronics,150
20,Stapler,Stationery,10
21,Router,Electronics,120
22,Speaker,Electronics,200
23,TV,Electronics,1000
24,Mousepad,Accessories,10
25,Calculator,Electronics,40
26,Bed,Furniture,700
27,Dresser,Furniture,400
28,ChairMat,Furniture,30
29,Marker,Stationery,3
30,Folder,Stationery,4
31,WaterBottle,Accessories,15
32,Sunglasses,Accessories,100
33,Jeans,Clothing,60
34,T-Shirt,Clothing,25
35,Jacket,Clothing,120
36,Shoes,Clothing,80
37,Belt,Clothing,30
38,Gloves,Clothing,20
39,Hat,Clothing,15
40,Scarf,Clothing,25
41,Perfume,Accessories,90
42,Lipstick,Accessories,35
43,NotebookPro,Electronics,1500
44,DeskLamp,Furniture,60
45,OfficeChair,Furniture,200
46,Bookshelf,Furniture,250
47,PrinterInk,Stationery,40
48,PaperPack,Stationery,15
49,MonitorStand,Furniture,50
50,SmartWatch,Electronics,350
